id;account_id;value;date;details
1;Kentucky;29741;2020-03-23T17:11:33;Polarised
1;Chips COM;99553;2020-03-22T20:05:01;B2B
1;parsing Buckinghamshire orchestrate;40665;2020-03-23T07:41:17;Kids
3;disintermediate Garden Haiti;73402;2020-03-22T19:00:16;Innovative Fresh didactic
3;Cotton Executive;3216;2020-03-22T20:09:38;payment connecting
2;Executive back up Cambridgeshire;25904;2020-03-23T01:24:38;multi-state Technician
2;navigating scalable;28491;2020-03-23T07:49:48;Industrial
1;digital cross-platform end-to-end;3004;2020-03-23T09:48:56;primary
1;Berkshire Pizza;88371;2020-03-22T19:33:41;Regional Northern Mariana Islands Forest
2;Fantastic;72853;2020-03-23T12:02:22;enable
